date;kategorie;pax;fret;mvt
2025-06-29;Passagierverkehr;30584;0.722;211
2025-06-29;Fracht Cargo;0;105.915;3
2025-06-29;Fracht Express;0;;
2025-06-29;Andere Kategorien;0;;23
