date;jahr;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
2025-06-28;2025;349.0;0.0;13.0;988.1;0.0;889.0;25.0;17.1;31.4;60.5
2025-06-29;2025;348.0;0.0;0.0;985.0;0.0;885.0;26.1;18.5;33.0;60.0
